
> gameday-map@0.1.0 reprocess:cache
> node --import tsx scripts/reprocessCache.ts

kansas-city-australia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-austria.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-belgium.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-bosnia-and-herzegovina.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-brazil.json: 10 venues, 3 kept country tag, 7 stripped to no-flag
kansas-city-c-te-d-ivoire.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-cabo-verde.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-canada.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-colombia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-congo-dr.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-croatia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-cura-ao.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-czechia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-ecuador.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-egypt.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-england.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-france.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-germany.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-ghana.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-haiti.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-ir-iran.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-iraq.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-japan.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-jordan.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-korea-republic.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-mexico.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-morocco.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-netherlands.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-new-zealand.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-norway.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-panama.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-paraguay.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-portugal.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-qatar.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-saudi-arabia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-scotland.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-senegal.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-south-africa.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-spain.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
kansas-city-sweden.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
